district_id,division_id,participated,participated_men,participated_women,total_registered_voters,total_registered_voters_men,total_registered_voters_women
10,00.10.48,922,410,512,1559,694,865
10,00.10.49,851,386,465,1383,618,765
10,00.10.50,928,386,542,1488,619,869
10,00.10.51,1496,629,867,2564,1107,1457
10,00.10.52,1440,617,823,2370,1001,1369
10,00.10.53,1565,659,906,2803,1191,1612
10,00.10.54,1288,544,744,2227,973,1254
10,00.10.55,1057,428,629,1821,755,1066
10,00.10.56,691,311,380,1231,531,700
10,00.10.57,696,297,399,1168,499,669
10,00.10.58,554,264,290,965,450,515
10,00.10.59,765,336,429,1275,561,714
10,00.10.60,964,359,605,1676,667,1009
10,00.10.61,1419,606,813,2640,1131,1509
10,00.10.62,1575,657,918,2554,1079,1475
10,00.10.63,866,362,504,1464,616,848
10,00.10.64,1514,604,910,2374,973,1401
10,00.10.65,1605,685,920,2691,1145,1546
10,00.10.66,950,416,534,1576,701,875
10,00.10.67,1533,675,858,2417,1032,1385
10,00.10.68,797,360,437,1272,560,712
10,00.10.69,1203,529,674,2128,914,1214
10,00.10.70,922,412,510,1520,696,824
10,00.10.71,839,359,480,1409,609,800
10,00.10.72,1570,680,890,2579,1118,1461
10,00.10.73,1424,626,798,2338,1036,1302
10,00.10.74,1361,595,766,2458,1097,1361
10,00.10.75,1865,836,1029,3287,1463,1824
10,00.10.76,407,361,46,0,,
10,00.10.77,132,125,7,0,,
11,00.11.01,1165,628,537,1830,855,975
11,00.11.02,431,213,218,685,325,360
11,00.11.03,1406,690,716,2186,1010,1176
11,00.11.04,1117,579,538,1727,828,899
11,00.11.05,837,411,426,1396,665,731
11,00.11.06,1004,467,537,1844,831,1013
11,00.11.07,512,274,238,873,441,432
11,00.11.08,233,121,112,340,176,164
11,00.11.09,382,193,189,501,229,272
11,00.11.10,731,375,356,1223,597,626
11,00.11.11,1328,708,620,2247,1112,1135
11,00.11.12,394,219,175,608,296,312
11,00.11.13,992,499,493,1545,756,789
11,00.11.14,1532,814,718,2012,1008,1004
11,00.11.15,77,34,43,97,45,52
11,00.11.16,567,289,278,807,383,424
11,00.11.17,1361,761,600,2275,1166,1109
11,00.11.18,549,295,254,758,384,374
11,00.11.19,562,321,241,698,367,331
11,00.11.20,775,420,355,1201,589,612
11,00.11.21,759,412,347,1233,637,596
11,00.11.22,272,146,126,329,177,152
11,00.11.23,608,358,250,881,461,420
11,00.11.24,904,429,475,1166,562,604
11,00.11.25,352,190,162,473,240,233
11,00.11.26,295,161,134,377,192,185
11,00.11.27,456,184,272,651,323,328
11,00.11.28,340,191,149,1195,616,579
11,00.11.29,369,239,130,1167,600,567
11,00.11.30,487,288,199,1109,561,548
11,00.11.31,467,290,177,1184,612,572
11,00.11.32,561,340,221,1252,648,604
11,00.11.33,365,230,135,930,483,447
11,00.11.34,464,308,156,1450,754,696
11,00.11.35,494,332,162,1445,758,687
11,00.11.36,420,276,144,1421,735,686
11,00.11.37,347,200,147,1118,562,556
11,00.11.38,484,233,251,1603,818,785
11,00.11.39,499,267,232,1559,796,763
11,00.11.40,426,255,171,1075,564,511
